,fips,EP_Percent2020,MP_Percent2020,BP_Percent2020,Cath_Percent2020,Orth_Percent2020,Other_Percent2020,Islam_Percent2020,Jewish_Percent2020,Hindu_Percent2020,Budd_Percent2020,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters
0,01001,40.79,4.8,2.83,1.63,0.0,1.39,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1,01003,29.04,8.11,1.32,13.58,0.06,1.55,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
2,01005,37.15,5.01,14.84,9.33,0.0,2.38,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
3,01007,44.01,0.7,4.11,0.0,0.0,0.02,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
4,01009,47.63,4.23,0.66,3.49,0.0,1.31,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
5,01011,19.81,1.84,21.96,1.01,0.0,2.63,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
6,01013,49.06,5.46,5.27,0.5,0.0,0.83,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
7,01015,56.62,4.46,6.29,2.87,0.06,1.22,0.32,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
8,01017,31.04,5.66,15.76,0.76,0.0,2.52,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
9,01019,42.24,5.95,1.08,0.1,0.0,0.89,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
10,01021,63.36,3.78,2.81,1.96,0.0,1.75,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-High
11,01023,41.97,5.99,10.61,0.51,0.0,2.41,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
12,01025,53.85,5.51,14.33,1.0,0.0,0.98,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
